"unpaid_hours","sex","Husband, Wife or Partner","Lone parent","Dependent student","Non-dependent child","Other related individual","Non-family member","Non-classifiable","None(b)","1-15 hours","16 - 24 hours","25-34 hours","35-39 hours","40 hours","41-48 hours","and over","Not stated","Total"
"Nil hours","Females","886146","197241","207723","184908","116388","576596","73892","82504",177182,144834,148827,233009,131318,37783,54243,25486,1035183
"Less than 5 hours","Females","494295"," 83346","300567","210668"," 65314","364819"," 57328","75573",194674,119297,137719,240331,155675,73717,83036,10119,1090140
"5 to 14 hours","Females","1742089"," 252678","  78694"," 129725","  78012"," 526307","  81355","121222",213569,256916,344324,479947,330328,159277,184555,15611,2105753
"15 to 29 hours","Females","1238519"," 157971","   8129","  29382","  31375"," 179055","  38460","80131",138005,173114,186441,181410,125743,51881,66691,8560,1011975
"30 hours or more","Females","1068874"," 151831","   2605","  16387","  20412","  95972","  28158","87369",121386,110990,85560,65409,45998,14208,26319,8771,566011
"Total","Females","5429930"," 843068"," 597720"," 571070"," 311499","1742748"," 279192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nil hours","Males","1218503","58621","235324","413300","119799","676704","99726","98353",163089,142312,132477,363269,337579,124616,239849,45287,1646845
"Less than 5 hours","Males","1301221","  34185"," 282888"," 316865","  67327"," 397464","  76569","87045",175571,120595,131831,360367,390182,199094,340571,20236,1825507
"5 to 14 hours","Males","1920351","  68328","  51978"," 130730","  48587"," 423266","  73689","91834",117502,116795,145173,427495,476373,252152,384404,17663,2029385
"15 to 29 hours","Males","617531"," 26955","  4149"," 25381"," 11573","105325"," 20811","35425",34922,33551,36816,96210,106538,52747,79304,4914,480415
"30 hours or more","Males","283863"," 16733","  1701"," 14781","  6040"," 56487"," 11252","24879",16783,12974,11731,28425,29792,12107,23197,3237,163113
"Total","Males","5341470"," 204828"," 576037"," 901047"," 253329","1659249"," 282037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not stated","Males",NA,NA,NA,NA,NA,NA,NA,"1554",2775,2161,2441,6401,6479,2235,4662,26237,54946
"Not stated","Females",NA,NA,NA,NA,NA,NA,NA,"1498",3487,3114,3610,4776,3101,795,1504,18257,40143
